adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception,pfr_id
,,,,,17,7,,1/18/80,,,,,,,,,,,,,,,,,0,1,4,6,,16,16,44719.00,,,0,0,,,,,,,,0,,,,,,,Julius Peppers,,,,2,,,,,,PeppJu99,RDE,,,,,,,,,,,,,,,,,,,,,,11.5,,2012,32,CHI,,,,,,,,,,295,,,,,,,,,,6,0,PeppJu99
,,,,,6,14,,1/18/80,,,,,,,,,,,,,,,,,0,2,1,42,,16,16,44719.00,,,1,0,,,,,,,,14,,,,,,,Julius Peppers,,,,3,,,,,,PeppJu99,RDE,,,,,,,,,,,,,,,,,,,,,,7,,2013,31,CHI,,,,,,,,,,295,,,,,,,,,,42,14,PeppJu99
,,,,,9,14,,1/18/80,,,,,,,,,,,,,,,,,0,4,3,2,,16,16,44719.00,,,2,2,,,,,,,,52,,,,,,,Julius Peppers,,,,11,,,,,,PeppJu99,LOLB,,,,,,,,,,,,,,,,,,,,,,7,,2014,29,GNB,,,,,,,,,,295,,,,,,,,,,2,101,PeppJu99
,,,,,12,12,,1/18/80,,,,,,,,,,,,,,,,,0,2,0,0,,16,16,44719.00,,,,,,,,,,,,,,,,,,,Julius Peppers,,,,,,,,,,PeppJu99,LOLB,,,,,,,,,,,,,,,,,,,,,,10.5,,2015,25,GNB,,,,,,,,,,295,,,,,,,,,,0,,PeppJu99
,,,,,5,8,,1/18/80,,,,,,,,,,,,,,,,,0,2,1,0,,16,11,44719.00,,,0,0,,,,,,,,0,,,,,,,Julius Peppers,,,,3,,,,,,PeppJu99,LOLB,,,,,,,,,,,,,,,,,,,,,,7.5,,2016,15,GNB,,,,,,,,,,295,,,,,,,,,,0,0,PeppJu99
,,,,,4,12,,1/18/80,,,,,,,,,,,,,,,,,0,2,2,0,,16,5,44719.00,,,,,,,,,,,,,,,,,,,Julius Peppers,,,,,,,,,,PeppJu99,lde,,,,,,,,,,,,,,,,,,,,,,11,,2017,21,CAR,,,,,,,,,,295,,,,,,,,,,0,,PeppJu99
,,,,,4,8,,1/18/80,,,,,,,,,,,,,,,,,0,2,1,0,,16,8,44719.00,,,0,0,,,,,,,,0,,,,,,,Julius Peppers,,,,6,,,,,,PeppJu99,RDE,,,,,,,,,,,,,,,,,,,,,,5,,2018,14,CAR,,,,,,,,,,295,,,,,,,,,,0,0,PeppJu99
80,3.98,4.2,72,,4,,429,10/21/78,,,215,68,,,,,,,,,,2,,,2,0,0,0,2,14,12,44716.00,3.7,91,,,16,,,,,,,,,64,,,,6,Joey Harrington,83,5.08,71,,50.1,2.8,12,2294,5.3,HarrJo00,QB,,,,,36594,59.9,,,,,,,7,0.5,0,4,0.6,0.3,0,,132,0,,2002,,DET,,,,8,,83,7,,,220,4,75,70,10.7,163.9,,,,0.6,0,,HarrJo00
80,3.86,4,72,,6,,554,10/21/78,,100,309,88,,,,,,,,,,2,,,6,0,3,-7,2,16,16,44716.00,4,86,,,22,,,,,,,,,72,,,8,26,Joey Harrington,83,5.02,79,,55.8,3.1,17,2880,5.2,HarrJo00,QB,,,,,36657,63.9,0,8,0.5,8,1,0.1,30,1.9,0,86,2.9,5.4,0,,132,0,,2003,,DET,,,1,9,,87,31,,,220,94,55,70,9.3,180,,,,3,-7,,HarrJo00
97,5.13,5.9,96,,10,,489,10/21/78,,,274,89,,,,,,,,,,1,,,6,0,0,-6,1,16,16,44716.00,2.5,112,,,12,,,,,,,,,62,,,,17,Joey Harrington,91,5.43,96,,56,3.9,19,3047,6.2,HarrJo00,QB,,,,,36687,77.5,,,,,,,48,3,0,175,3.6,10.9,0,,98,0,,2004,,DET,,,,36,,98,48,,,220,175,196,90,11.1,190.4,,,,3.6,-6,,HarrJo00
89,4.48,5.2,87,,5,,330,10/21/78,,100,188,91,,,,,,,,,,1,,,7,0,1,-3,1,12,11,44716.00,3.6,91,,,12,,,,,,,,,86,,,-4,15,Joey Harrington,89,5.32,88,,57,3.6,12,2021,6.1,HarrJo00,QB,,,,,36623,72,0,-4,-0.3,-4,1,0.1,24,2,0,80,3.3,6.7,0,,99,0,,2005,,DET,,,1,24,,95,25,,,220,76,136,87,10.8,168.4,,,,3,-3,,HarrJo00
85,4.18,4.6,79,,3,,388,10/21/78,,,223,91,51,,,,,,,,,0,,,4,0,2,-3,0,11,11,44716.00,3.9,88,,,15,,,,,,,,,48,,,,7,Joey Harrington,87,5.26,83,,57.5,3.1,12,2236,5.8,HarrJo00,QB,,,,,36652,68.2,,,,,,,19,1.7,0,24,1.3,2.2,0,,117,0,,2006,,MIA,,,,15,,90,19,,,220,24,116,79,10,203.3,,,,1.3,-3,,HarrJo00
90,4.74,5.7,92,,6,,348,10/21/78,,100,215,104,43.3,,,,,,,,,0,,,0,,,,1,12,10,44716.00,2.3,111,,,8,,,,,,,,,69,,,4,13,Joey Harrington,87,5.32,93,,61.8,2,7,2215,6.4,HarrJo00,QB,,,,,36592,77.2,0,4,0.3,4,1,0.1,14,1.2,0,33,2.4,2.8,0,,86,,,2007,,ATL,,,1,32,,77,15,,,220,37,192,89,10.3,184.6,,,,2.5,,,HarrJo00
,,,,,7,,,1/11/80,,,,,,,,,,,,,,,,,0,0,4,0,,14,14,44718.00,,,,,,,,,,,,,,,,,,,Mike Williams,,,,,,,,,,WillMi22,RT,,,,,,,,,,,,,,,,,,,,,,0,,2002,,BUF,,,,,,,,,,370,,,,,,,,,,0,,WillMi22
,,,,,5,,,1/11/80,,,,,,,,,,,,,,,,,0,0,1,0,,13,13,44718.00,,,,,,,,,,,,,,,,,,,Mike Williams,,,,,,,,,,WillMi22,RT,,,,,,,,,,,,,,,,,,,,,,0,,2003,,BUF,,,,,,,,,,370,,,,,,,,,,0,,WillMi22
,,,,,7,,,1/11/80,,,,,,,,,,,,,,,,,,,,,,15,15,44718.00,,,,,,,,,,,,,,,,,,,Mike Williams,,,,,,,,,,WillMi22,RT,,,,,,,,,,,,,,,,,,,,,,0,,2004,,BUF,,,,,,,,,,370,,,,,,,,,,,,WillMi22
,,,,,3,,,1/11/80,,,,,,,,,,,,,,,,,,,,,,9,6,44718.00,,,,,,,,,,,,,,,,,,,Mike Williams,,,,,,,,,,WillMi22,rt,,,,,,,,,,,,,,,,,,,,,,0,,2005,,BUF,,,,,,,,,,370,,,,,,,,,,,,WillMi22
,,,,,4,,,1/11/80,,,,,,,,,,,,,,,,,0,0,2,0,,8,8,44718.00,,,,,,,,,,,,,,,,,,,Mike Williams,,,,,,,,,,WillMi22,RG,,,,,,,,,,,,,,,,,,,,,,0,,2009,,WAS,,,,,,,,,,370,,,,,,,,,,0,,WillMi22
,,,,,2,9,,6/19/79,,,,,,,,,,,,,,,,,,,,,,14,4,36678.00,,,0,0,,,,,,,,0,,,,,,,Quentin Jammer,,,,10,,,,,,JammQu20,,,,,,,,,,,,,,,,,,,,,,,0,,2002,58,SDG,,,,,,,,,,204,,,,,,,,,,,0,JammQu20
,,,,,6,14,,6/19/79,,,,,,,,,,,,,,,,,0,0,1,2,,16,16,36678.00,,,4,0,,,,,,,,6,,,,,,,Quentin Jammer,,,,13,,,,,,JammQu20,LCB,,,,,,,,,,,,,,,,,,,,,,0,,2003,57,SDG,,,,,,,,,,204,,,,,,,,,,2,6,JammQu20
,,,,,6,9,,6/19/79,,,,,,,,,,,,,,,,,,,,,,16,16,36678.00,,,1,0,,,,,,,,12,,,,,,,Quentin Jammer,,,,10,,,,,,JammQu20,RCB,,,,,,,,,,,,,,,,,,,,,,0,,2004,53,SDG,,,,,,,,,,204,,,,,,,,,,,12,JammQu20
,,,,,5,12,,6/19/79,,,,,,,,,,,,,,,,,0,1,0,0,,16,16,36678.00,,,1,0,,,,,,,,14,,,,,,,Quentin Jammer,,,,19,,,,,,JammQu20,LCB,,,,,,,,,,,,,,,,,,,,,,0,,2005,62,SDG,,,,,,,,,,204,,,,,,,,,,0,14,JammQu20
,,,,,6,7,,6/19/79,,,,,,,,,,,,,,,,,,,,,,16,16,36678.00,,,4,0,,,,,,,,35,,,,,,,Quentin Jammer,,,,18,,,,,,JammQu20,LCB,,,,,,,,,,,,,,,,,,,,,,0,,2006,71,SDG,,,,,,,,,,204,,,,,,,,,,,57,JammQu20
,,,,,6,7,,6/19/79,,,,,,,,,,,,,,,,,0,0,2,0,,15,14,36678.00,,,1,0,,,,,,,,0,,,,,,,Quentin Jammer,,,,10,,,,,,JammQu20,LCB,,,,,,,,,,,,,,,,,,,,,,0,,2007,54,SDG,,,,,,,,,,204,,,,,,,,,,0,0,JammQu20
,,,,,7,13,,6/19/79,,,,,,,,,,,,,,,,,0,3,2,23,,16,16,36678.00,,,2,0,,,,,,,,2,,,,,,,Quentin Jammer,,,,19,,,,,,JammQu20,LCB,,,,,,,,,,,,,,,,,,,,,,0,,2008,75,SDG,,,,,,,,,,204,,,,,,,,,,23,2,JammQu20
,,,,,7,11,,6/19/79,,,,,,,,,,,,,,,,,0,1,0,0,,16,16,36678.00,,,3,0,,,,,,,,21,,,,,,,Quentin Jammer,,,,11,,,,,,JammQu20,LCB,,,,,,,,,,,,,,,,,,,,,,0,,2009,47,SDG,,,,,,,,,,204,,,,,,,,,,0,25,JammQu20
,,,,,7,3,,6/19/79,,,,,,,,,,,,,,,,,0,1,0,0,,16,16,36678.00,,,2,0,,,,,,,,5,,,,,,,Quentin Jammer,,,,11,,,,,,JammQu20,LCB,,,,,,,,,,,,,,,,,,,,,,0,,2010,42,SDG,,,,,,,,,,204,,,,,,,,,,0,5,JammQu20
